Año,Periodo,Tráfico de drogas
2013,Trimestre 1,-10
2013,Trimestre 2,-9
2013,Trimestre 3,-2
2013,Trimestre 4,-1
2014,Trimestre 1,-7
2014,Trimestre 2,-6
2014,Trimestre 3,-5
2014,Trimestre 4,-6
2015,Trimestre 1,-3
2015,Trimestre 2,-3
2015,Trimestre 3,-9
2015,Trimestre 4,-10
2016,Trimestre 1,-5
2016,Trimestre 2,0
2016,Trimestre 3,2
2016,Trimestre 4,3
2017,Trimestre 1,11
2017,Trimestre 2,6
2017,Trimestre 3,5
2017,Trimestre 4,4
2018,Trimestre 1,4
2018,Trimestre 2,6
2018,Trimestre 3,7
2018,Trimestre 4,9
2019,Trimestre 1,20
2019,Trimestre 2,15
2019,Trimestre 3,17
2019,Trimestre 4,17
2020,Trimestre 1,0
2020,Trimestre 2,0
2020,Trimestre 3,0
2020,Trimestre 4,2
2021,Trimestre 1,12
2021,Trimestre 2,12
2021,Trimestre 3,10
2021,Trimestre 4,7
2022,Trimestre 1,4
2022,Trimestre 3,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,